id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
316,BHEL,Mar 2021,17309,20357,-3049.0,-18.0,393,467,473,-3596,-25.0,-2700,-8.0,0.0,395.0,696.0,25287.0,4951.0,25025.0,55960.0,2491.0,420.0,185.0,52864.0,55960.0,310.0,560.0,-42.0,-394.0,123.0,-15.59882142238142,0.1905476657814725,518.0
317,BHEL,Mar 2022,21211,20383,828.0,4.0,405,448,314,470,5.0,445,1.0,31.0,396.0,696.0,25810.0,4830.0,25654.0,56991.0,2398.0,431.0,205.0,53956.0,56991.0,311.0,660.0,-1118.0,-329.0,-787.0,2.097968035453302,0.1822228929299027,-458.0
318,BHEL,Mar 2023,23365,22321,1044.0,4.0,544,612,260,716,9.0,654,2.0,21.0,397.0,696.0,23682.0,5454.0,27832.0,57664.0,2476.0,354.0,235.0,54599.0,57664.0,312.0,-741.0,1480.0,89.0,829.0,2.799058420714744,0.2237263106079252,739.0
319,BHEL,Mar 2024,23893,23182,711.0,3.0,608,828,249,243,-16.0,282,1.0,31.0,398.0,696.0,23742.0,8856.0,26493.0,59788.0,2574.0,308.0,256.0,56650.0,59788.0,313.0,-3713.0,1331.0,2656.0,274.0,1.180262001423011,0.3623864473361159,-2382.0
320,BHEL,TTM,25833,24783,1050.0,4.0,527,746,248,583,,445,1.0,,,,,,,,,,,,,,,,,,1.722602872295126,,
321,BOSCHLTD,Dec 2012,8659,7310,1350.0,16.0,369,6,367,1346,29.0,958,305.0,20.0,400.0,31.0,5542.0,230.0,2098.0,7902.0,863.0,408.0,1529.0,5102.0,7902.0,314.0,871.0,-824.0,-156.0,-108.0,11.063633213997,0.04127041090974341,47.0
322,BOSCHLTD,Dec 2013,8757,7468,1289.0,15.0,353,0,384,1257,30.0,885,282.0,20.0,401.0,31.0,6263.0,183.0,2414.0,8891.0,938.0,440.0,2202.0,5311.0,8891.0,315.0,1057.0,-846.0,-238.0,-27.0,10.10620075368277,0.02907530981887512,211.0
323,BOSCHLTD,Mar 2015,12086,10104,1981.0,16.0,537,14,548,1956,32.0,1338,426.0,20.0,402.0,31.0,7316.0,111.0,2973.0,10431.0,968.0,276.0,2890.0,6298.0,10431.0,316.0,1396.0,-1183.0,-237.0,-24.0,11.07066026807877,0.01510820743160474,213.0
324,BOSCHLTD,Mar 2016,9701,7823,1878.0,19.0,623,13,386,2102,27.0,1531,488.0,17.0,403.0,31.0,9504.0,50.0,2848.0,12433.0,1149.0,151.0,4628.0,6505.0,12433.0,317.0,1318.0,-995.0,-356.0,-33.0,15.78187815689104,0.005243838489774515,323.0
325,BOSCHLTD,Mar 2017,10435,8473,1963.0,19.0,912,27,456,2391,27.0,1741,570.0,29.0,404.0,30.0,8769.0,0.0,3000.0,11800.0,1514.0,129.0,3927.0,6231.0,11800.0,318.0,1457.0,1246.0,-2670.0,33.0,16.68423574508864,0.0,2703.0
326,BOSCHLTD,Mar 2018,11690,9597,2093.0,18.0,418,3,467,2041,33.0,1371,449.0,22.0,405.0,30.0,9951.0,0.0,3946.0,13927.0,1318.0,313.0,5240.0,7056.0,13927.0,319.0,1729.0,-1170.0,-325.0,234.0,11.72797262617622,0.0,559.0
327,BOSCHLTD,Mar 2019,12085,9931,2154.0,18.0,600,13,402,2339,32.0,1598,542.0,19.0,406.0,30.0,9097.0,0.0,3583.0,12710.0,1176.0,644.0,4054.0,6836.0,12710.0,320.0,593.0,1766.0,-2531.0,-172.0,13.22300372362433,0.0,2359.0
328,BOSCHLTD,Mar 2020,9842,8358,1483.0,15.0,-105,10,383,985,34.0,650,220.0,48.0,407.0,30.0,9240.0,74.0,3977.0,13320.0,1342.0,487.0,4042.0,7450.0,13320.0,321.0,1336.0,-873.0,-399.0,64.0,6.604348709611868,0.007982740021574973,463.0
329,BOSCHLTD,Mar 2021,9718,8555,1163.0,12.0,-241,14,341,567,15.0,482,164.0,70.0,408.0,30.0,9793.0,54.0,4898.0,14774.0,1241.0,488.0,5157.0,7888.0,14774.0,322.0,835.0,-463.0,-338.0,34.0,4.959868285655484,0.005497302249821846,372.0
